"FID"	"OBJECTID"	"AmbulanceR"	"BikeAge_Gr"	"Bike_Age"	"Bike_Alc_D"	"Bike_Dir"	"Bike_Injur"	"Bike_Pos"	"Bike_Race"	"Bike_Sex"	"City"	"County"	"CrashAlcoh"	"CrashDay"	"Crash_Date"	"Crash_Grp"	"Crash_Hour"	"Crash_Loc"	"Crash_Mont"	"Crash_Time"	"Crash_Type"	"Crash_Ty_1"	"Crash_Year"	"Crsh_Sevri"	"Developmen"	"DrvrAge_Gr"	"Drvr_Age"	"Drvr_Alc_D"	"Drvr_EstSp"	"Drvr_Injur"	"Drvr_Race"	"Drvr_Sex"	"Drvr_VehTy"	"ExcsSpdInd"	"Hit_Run"	"Latitude"	"Light_Cond"	"Locality"	"Longitude"	"Num_Lanes"	"Num_Units"	"Rd_Charact"	"Rd_Class"	"Rd_Conditi"	"Rd_Config"	"Rd_Defects"	"Rd_Feature"	"Rd_Surface"	"Region"	"Rural_Urba"	"Speed_Limi"	"Traff_Cntr"	"Weather"	"Workzone_I"	"Location"
"11"	10	11	"Yes"	"16-19"	"19"	"Yes"	"Facing Traffic"	"A: Disabling Injury"	"Travel Lane"	"Hispanic"	"Male"	"Cary"	"Wake"	"Yes"	"Saturday"	"02/10/2007 12:00:00 AM"	"Bicyclist Right Turn / Merge"	21	"Non-Intersection"	"February"	"21:11"	"Bicyclist Right Turn - Opposite Direction"	312224	2007	"A: Disabling Injury"	"Commercial"	"20-24"	"24"	"Yes"	"31-35 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	35.79067	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	-78.77092	"4 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.79067, -78.77092)"
"12"	11	12	"Yes"	"30-39"	"35"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"Raleigh"	"Wake"	"No"	"Tuesday"	"01/02/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	11	"Non-Intersection"	"January"	"11:32"	"Motorist Overtaking - Other /"	311239	2007	"B: Evident Injury"	"Commercial"	"25-29"	"27"	"No"	"31-35 mph"	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"No"	35.854084	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	-78.580986	"6 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"No Special Feature"	"Coarse Asphalt"	"Piedmont"	"Urban"	"40 - 45  MPH"	"No Control Present"	"Clear"	"No"	"(35.854084, -78.580986)"
"13"	12	13	"No"	"40-49"	"40"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"Hispanic"	"Male"	"None - Rural Crash"	"Johnston"	"No"	"Wednesday"	"01/03/2007 12:00:00 AM"	"Motorist Failed to Yield - Sign-Controlled Intersection"	20	"Intersection"	"January"	"20:24"	"Motorist Drive Out - Sign-Controlled Intersection"	111141	2007	"C: Possible Injury"	"Farms, Woods, Pastures"	"20-24"	"21"	"No"	"6-10 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	35.4828	"Dark - Roadway Not Lighted"	"Rural (<30% Developed)"	-78.2452	"4 lanes"	2	"Straight - Level"	"US Route"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Coastal"	"Rural"	"50 - 55  MPH"	"Stop Sign"	"Clear"	"No"	"(35.4828, -78.2452)"
"14"	13	14	"Yes"	"30-39"	"31"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"Davidson"	"Mecklenburg"	"No"	"Wednesday"	"01/03/2007 12:00:00 AM"	"Motorist Right Turn / Merge"	15	"Intersection"	"January"	"15:01"	"Motorist Right Turn - Same Direction"	111213	2007	"B: Evident Injury"	"Residential"	"0-19"	"17"	"No"	"11-15 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	35.491177	"Daylight"	"Urban (>70% Developed)"	-80.83144	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Concrete"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	"(35.491177, -80.83144)"
"15"	14	15	"Yes"	NA	"10"	"No"	"Not Applicable"	"C: Possible Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"White"	"Female"	"Smithfield"	"Johnston"	"No"	"Friday"	"01/05/2007 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	14	"Non-Intersection"	"January"	"14:48"	"Bicyclist Ride Out - Other Midblock"	333318	2007	"C: Possible Injury"	"Residential"	"60-69"	"66"	"No"	"16-20 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	35.50502	"Daylight"	"Urban (>70% Developed)"	-78.351204	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Urban"	"20 - 25  MPH"	"No Control Present"	"Clear"	"No"	"(35.50502, -78.351204)"
"16"	15	16	"Yes"	"30-39"	"31"	"No"	"Facing Traffic"	"C: Possible Injury"	"Travel Lane"	"Black"	"Female"	"Smithfield"	"Johnston"	"No"	"Friday"	"01/05/2007 12:00:00 AM"	"Motorist Failed to Yield - Sign-Controlled Intersection"	8	"Intersection"	"January"	"8:08"	"Motorist Drive Out - Sign-Controlled Intersection"	112141	2007	"C: Possible Injury"	"Commercial"	"40-49"	"47"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"No"	35.492355	"Daylight"	"Mixed (30% To 70% Developed)"	-78.35791	"5 lanes"	2	"Straight - Level"	"US Route"	"Wet"	"Two-Way, Divided, Unprotected Median"	"None"	"No Special Feature"	"Coarse Asphalt"	"Coastal"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Rain"	"No"	"(35.492355, -78.35791)"
"17"	16	17	"Yes"	NA	"10"	"No"	"Not Applicable"	"A: Disabling Injury"	"Non-Roadway"	"White"	"Male"	"None - Rural Crash"	"Davie"	"No"	"Saturday"	"01/06/2007 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	13	"Non-Intersection"	"January"	"13:58"	"Bicyclist Ride Out - Other Midblock"	363318	2007	"A: Disabling Injury"	"Residential"	"25-29"	"26"	"No"	"16-20 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	36.01364	"Daylight"	"Urban (>70% Developed)"	-80.4382	"2 lanes"	2	"Straight - Level"	"Public Vehicular Area"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Rural"	"50 - 55  MPH"	"No Control Present"	"Clear"	"No"	"(36.01364, -80.4382)"
"18"	17	18	"No"	"40-49"	"49"	"Yes"	"With Traffic"	"C: Possible Injury"	"Other"	"Native American"	"Female"	"None - Rural Crash"	"Robeson"	"Yes"	"Saturday"	"01/06/2007 12:00:00 AM"	"Loss of Control / Turning Error"	6	"Non-Intersection"	"January"	"6:43"	"Bicyclist Lost Control - Oversteering, Improper Braking, Speed"	381122	2007	"C: Possible Injury"	"Farms, Woods, Pastures"	"60-69"	"61"	"No"	"41-45 mph"	"O: No Injury"	"Native American"	"Male"	"Pickup"	"No"	"No"	34.71112	"Dark - Roadway Not Lighted"	"Rural (<30% Developed)"	-79.02516	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Wet"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Rural"	"50 - 55  MPH"	"No Control Present"	"Cloudy"	"No"	"(34.71112, -79.02516)"
"19"	18	19	"No"	NA	"6"	"No"	"Not Applicable"	"C: Possible Injury"	"Driveway / Alley"	"Black"	"Female"	"Durham"	"Durham"	"No"	"Saturday"	"01/06/2007 12:00:00 AM"	"Bicyclist Failed to Yield - Midblock"	13	"Non-Intersection"	"January"	"13:18"	"Bicyclist Ride Out - Residential Driveway"	353311	2007	"C: Possible Injury"	"Residential"	"60-69"	"66"	"No"	"11-15 mph"	"O: No Injury"	"Black"	"Male"	"Pickup"	"No"	"No"	36.002743	"Daylight"	"Mixed (30% To 70% Developed)"	-78.8785	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"20 - 25  MPH"	"No Control Present"	"Clear"	"No"	"(36.002743, -78.8785)"
"20"	19	20	"No"	"30-39"	"31"	"Yes"	"Facing Traffic"	"B: Evident Injury"	"Sidewalk / Crosswalk / Driveway Crossing"	"Hispanic"	"Male"	"Gastonia"	"Gaston"	"Yes"	"Saturday"	"01/06/2007 12:00:00 AM"	"Motorist Failed to Yield - Midblock"	13	"Non-Intersection"	"January"	"13:30"	"Motorist Drive Out - Commercial Driveway / Alley"	332322	2007	"B: Evident Injury"	"Commercial"	"25-29"	"29"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Male"	"Pickup"	"No"	"No"	35.262295	"Daylight"	"Urban (>70% Developed)"	-81.15347	NA	2	"Straight - Level"	"Public Vehicular Area"	"Dry"	"Two-Way, Not Divided"	"None"	"Driveway, Public"	"Smooth Asphalt"	"Piedmont"	"Urban"	NA	"No Control Present"	"Clear"	"No"	"(35.262295, -81.15347)"
"21"	20	21	"Yes"	"30-39"	"30"	"Yes"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Male"	"None - Rural Crash"	"Carteret"	"Yes"	"Monday"	"01/08/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	19	"Non-Intersection"	"January"	"19:25"	"Motorist Overtaking - Undetected Bicyclist"	311231	2007	"B: Evident Injury"	"Residential"	"0-19"	"19"	"No"	"41-45 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	34.792816	"Dark - Roadway Not Lighted"	"Mixed (30% To 70% Developed)"	-76.88812	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Coastal"	"Rural"	"40 - 45  MPH"	"No Control Present"	"Clear"	"No"	"(34.792816, -76.88812)"
"22"	21	22	"No"	"50-59"	"54"	"No"	"Facing Traffic"	"C: Possible Injury"	"Travel Lane"	"Black"	"Male"	"Winston-Salem"	"Forsyth"	"No"	"Monday"	"01/08/2007 12:00:00 AM"	"Head-On"	15	"Non-Intersection"	"January"	"15:01"	"Head-On - Bicyclist"	312250	2007	"C: Possible Injury"	"Commercial"	"40-49"	"46"	"No"	"31-35 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	36.12228	"Daylight"	"Urban (>70% Developed)"	-80.23296	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"T-Intersection"	"Coarse Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(36.12228, -80.23296)"
"23"	22	23	"Yes"	"40-49"	"40"	"No"	"Facing Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"Burlington"	"Alamance"	"No"	"Friday"	"01/12/2007 12:00:00 AM"	"Motorist Failed to Yield - Midblock"	17	"Non-Intersection"	"January"	"17:46"	"Motorist Drive Out - Commercial Driveway / Alley"	312322	2007	"B: Evident Injury"	"Commercial"	"60-69"	"67"	"No"	"0-5 mph"	"O: No Injury"	"White"	"Male"	"Passenger Car"	"No"	"No"	36.07042	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	-79.49479	"5 lanes"	2	"Straight - Grade"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(36.07042, -79.49479)"
"24"	23	24	"Yes"	"30-39"	"33"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"White"	"Female"	"Greensboro"	"Guilford"	"No"	"Saturday"	"01/13/2007 12:00:00 AM"	"Motorist Left Turn / Merge"	11	"Intersection"	"January"	"11:23"	"Motorist Left Turn - Opposite Direction"	111212	2007	"B: Evident Injury"	"Residential"	"70+"	"70+"	"No"	"11-15 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	36.089798	"Daylight"	"Urban (>70% Developed)"	-79.84083	"4 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Piedmont"	"Urban"	"30 - 35  MPH"	"Stop And Go Signal"	"Clear"	"No"	"(36.089798, -79.84083)"
"25"	24	25	"Yes"	NA	"8"	"No"	"With Traffic"	"B: Evident Injury"	"Travel Lane"	"Black"	"Male"	"None - Rural Crash"	"Lincoln"	"No"	"Tuesday"	"01/16/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	17	"Non-Intersection"	"January"	"17:40"	"Motorist Overtaking - Bicyclist Swerved"	311235	2007	"B: Evident Injury"	"Farms, Woods, Pastures"	"25-29"	"25"	"No"	"31-35 mph"	"O: No Injury"	"Black"	"Female"	"Passenger Car"	"No"	"No"	35.515663	"Dusk"	"Rural (<30% Developed)"	-81.20707	"2 lanes"	2	"Straight - Bottom"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Rural"	"30 - 35  MPH"	"No Control Present"	"Clear"	"No"	"(35.515663, -81.20707)"
"26"	25	26	"Yes"	NA	"13"	"Yes"	"Facing Traffic"	"C: Possible Injury"	"Travel Lane"	"Black"	"Male"	"None - Rural Crash"	"Iredell"	"Yes"	"Tuesday"	"01/16/2007 12:00:00 AM"	"Head-On"	17	"Non-Intersection"	"January"	"17:45"	"Head-On - Bicyclist"	312250	2007	"C: Possible Injury"	"Farms, Woods, Pastures"	NA	NA	NA	NA	"Injury"	NA	NA	NA	"No"	"Yes"	35.80795	"Dusk"	"Rural (<30% Developed)"	-80.94646	"2 lanes"	2	"Straight - Grade"	"NC Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Rural"	"40 - 45  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	"(35.80795, -80.94646)"
"27"	26	27	"Yes"	"60-69"	"60"	"No"	"With Traffic"	"A: Disabling Injury"	"Travel Lane"	"White"	"Female"	"Lewisville"	"Forsyth"	"No"	"Tuesday"	"01/09/2007 12:00:00 AM"	"Motorist Left Turn / Merge"	16	"Non-Intersection"	"January"	"16:36"	"Motorist Left Turn - Opposite Direction"	311212	2007	"A: Disabling Injury"	"Residential"	"40-49"	"46"	"No"	"11-15 mph"	"O: No Injury"	"White"	"Female"	"Pickup"	"No"	"No"	36.094707	"Daylight"	"Rural (<30% Developed)"	-80.451485	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"50 - 55  MPH"	"Double Yellow Line, No Passing Zone"	"Clear"	"No"	"(36.094707, -80.451485)"
"28"	27	28	"Yes"	"20-24"	"21"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"White"	"Male"	"None - Rural Crash"	"Orange"	"No"	"Tuesday"	"01/09/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	8	"Non-Intersection"	"January"	"8:41"	"Motorist Overtaking - Misjudged Space"	311232	2007	"C: Possible Injury"	"Farms, Woods, Pastures"	NA	NA	NA	"16-20 mph"	"Injury"	NA	NA	NA	"No"	"Yes"	35.938232	"Daylight"	"Rural (<30% Developed)"	-79.1048	"2 lanes"	2	"Straight - Level"	"State Secondary Route"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Rural"	"40 - 45  MPH"	"No Control Present"	"Clear"	"No"	"(35.938232, -79.1048)"
"29"	28	29	"Yes"	"40-49"	"42"	"No"	"With Traffic"	"K: Killed"	"Bike Lane / Paved Shoulder"	"White"	"Male"	"Charlotte"	"Mecklenburg"	"Yes"	"Tuesday"	"01/09/2007 12:00:00 AM"	"Motorist Overtaking Bicyclist"	8	"Non-Intersection"	"January"	"8:22"	"Motorist Overtaking - Other /"	321239	2007	"K: Killed"	"Residential"	"25-29"	"27"	"Yes"	"36-40 mph"	"O: No Injury"	"White"	"Female"	"Passenger Car"	"No"	"No"	35.17583	"Daylight"	"Urban (>70% Developed)"	-80.71236	"2 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Not Divided"	"None"	"No Special Feature"	"Smooth Asphalt"	"Piedmont"	"Urban"	"40 - 45  MPH"	"No Control Present"	"Clear"	"No"	"(35.17583, -80.71236)"
"30"	29	30	"Yes"	"50-59"	"51"	"No"	"With Traffic"	"C: Possible Injury"	"Travel Lane"	"Black"	"Male"	"Greenville"	"Pitt"	"No"	"Tuesday"	"01/09/2007 12:00:00 AM"	"Crossing Paths - Other Circumstances"	23	"Intersection-Related"	"January"	"23:09"	"Crossing Paths - Intersection - Other /"	211180	2007	"C: Possible Injury"	"Commercial"	"30-39"	"34"	"No"	"0-5 mph"	"O: No Injury"	"Black"	"Male"	"Passenger Car"	"No"	"No"	35.612984	"Dark - Lighted Roadway"	"Urban (>70% Developed)"	-77.39265	"5 lanes"	2	"Straight - Level"	"Local Street"	"Dry"	"Two-Way, Divided, Unprotected Median"	"None"	"Four-Way Intersection"	"Smooth Asphalt"	"Coastal"	"Urban"	"40 - 45  MPH"	"Stop And Go Signal"	"Clear"	"No"	"(35.612984, -77.39265)"
